<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,symbol,trading_date,num_neg,num_pos,total,weighted_score,EIst,VCP_dir,VOP_dir,daily_change,TR_Simplified,TR,TR_Class,EPS,PE,VPE_dir,PB,Is_Stable,FF_TR,FF_TR_Class,EIst_class
S*Mobarakeh Steel,2025-05-28,3870.0,3873.0,3812.0,3833.0,1363847368342.0,355861133,11390,D,3874.0,3830.0,FOLD1,2025-05-28,146.0,36.0,195.0,-654.0,74.87179487179488,down,down,-41.0,0.4372324709307106,0.23724075533333333,Low,591,6.485617597292724,down,1.5270471023062626,True,0.6590020981481481,High,strong_negative
S*Mobarakeh Steel,2025-05-31,3900.0,3902.0,3786.0,3839.0,1445841088087.0,376636414,12036,D,3833.0,3793.0,FOLD1,2025-05-31,138.0,55.0,213.0,-418.0,64.7887323943662,up,down,6.0,0.4682686483271062,0.25109094266666665,Low,591,6.495769881556684,up,1.5294374708462672,True,0.6974748407407407,High,strong_negative
S*Mobarakeh Steel,2025-06-01,3829.0,3829.0,3728.0,3758.0,1426647063265.0,379638187,12537,D,3839.0,3764.0,FOLD1,2025-06-01,57.0,30.0,95.0,-174.0,60.0,down,up,-81.0,0.4925326669831736,0.25309212466666664,Low,591,6.358714043993232,down,1.4971674955562053,True,0.7030336796296296,High,weak_negative
S*Mobarakeh Steel,2025-06-02,3759.0,3815.0,3728.0,3752.0,1070277549343.0,285253540,11696,D,3758.0,3730.0,FOLD1,2025-06-02,130.0,44.0,184.0,-501.0,70.65217391304348,down,down,-6.0,0.40947296653469045,0.19016902666666666,Low,591,6.3485617597292725,down,1.4947771270162007,True,0.5282472962962963,High,strong_negative
S*Mobarakeh Steel,2025-06-03,3739.0,3750.0,3641.0,3671.0,1625725433044.0,442898219,16624,D,3752.0,3643.0,FOLD1,2025-06-03,97.0,24.0,129.0,-540.0,75.1937984496124,down,down,-81.0,0.6574944183598761,0.29526547933333336,Low,591,6.211505922165821,down,1.4625071517261388,True,0.820181887037037,High,strong_negative
S*Mobarakeh Steel,2025-06-07,3623.0,3656.0,3561.0,3572.0,1955138599101.0,547285520,13087,D,3671.0,3561.0,FOLD1,2025-06-07,137.0,38.0,188.0,-740.0,72.87234042553192,down,down,-99.0,0.8820278619235005,0.3648570133333333,High,591,6.04399323181049,down,1.4230660708160632,True,1.0134917037037037,High,strong_negative
S*Mobarakeh Steel,2025-06-08,3540.0,3654.0,3533.0,3576.0,1166551449390.0,326248760,11716,D,3572.0,3560.0,FOLD1,2025-06-08,81.0,47.0,141.0,-214.0,57.446808510638306,up,down,4.0,0.5526255252956374,0.21749917333333332,Low,591,6.050761421319797,up,1.4246596498427329,True,0.6041643703703704,High,weak_negative
S*Mobarakeh Steel,2025-06-09,3575.0,3610.0,3469.0,3481.0,2228042526116.0,640103196,17285,D,3576.0,3471.0,FOLD1,2025-06-09,106.0,31.0,148.0,-499.0,71.62162162162163,down,up,-95.0,1.0959810742296414,0.426735464,High,591,5.890016920473773,down,1.386812147959327,True,1.1853762888888888,High,strong_negative
S*Mobarakeh Steel,2025-06-10,3480.0,3540.0,3450.0,3484.0,1042154635690.0,299150378,9805,D,3481.0,3514.0,FOLD1,2025-06-10,130.0,27.0,170.0,-457.0,76.47058823529412,up,down,3.0,0.5399951261904788,0.19943358533333333,Low,591,5.895093062605753,up,1.3880073322293291,True,0.5539821814814815,High,strong_negative
S*Mobarakeh Steel,2025-06-11,3530.0,3538.0,3483.0,3498.0,782987358378.0,223819973,7826,D,3484.0,3500.0,FOLD1,2025-06-11,94.0,21.0,124.0,-445.0,75.80645161290323,up,up,14.0,0.41264571539985945,0.14921331533333335,Low,591,5.918781725888325,up,1.3935848588226734,True,0.4144814314814815,High,strong_negative
S*Mobarakeh Steel,2025-06-15,0.0,0.0,0.0,3498.0,0.0,0,0,D,3498.0,3500.0,FOLD1,2025-06-15,11.0,1.0,24.0,-100.0,45.83333333333333,up,up,0.0,0.0,0.0,Low,591,5.918781725888325,up,1.3935848588226734,False,0.0,Low,non_negative
S*Mobarakeh Steel,2025-06-16,0.0,0.0,0.0,3498.0,0.0,0,0,D,3498.0,3500.0,FOLD1,2025-06-16,6.0,4.0,15.0,0.0,40.0,up,up,0.0,0.0,0.0,Low,591,5.918781725888325,up,1.3935848588226734,False,0.0,Low,non_negative
S*Mobarakeh Steel,2025-06-18,0.0,0.0,0.0,3498.0,0.0,0,0,D,3498.0,3500.0,FOLD1,2025-06-18,5.0,0.0,5.0,-175.0,100.0,up,up,0.0,0.0,0.0,Low,591,5.918781725888325,up,1.3935848588226734,False,0.0,Low,strong_negative
S*Mobarakeh Steel,2025-06-21,0.0,0.0,0.0,3498.0,0.0,0,0,D,3498.0,3500.0,FOLD1,2025-06-21,9.0,1.0,12.0,-114.0,75.0,up,up,0.0,0.0,0.0,Low,591,5.918781725888325,up,1.3935848588226734,False,0.0,Low,strong_negative
S*Mobarakeh Steel,2025-06-22,0.0,0.0,0.0,3498.0,0.0,0,0,D,3498.0,3500.0,FOLD1,2025-06-22,7.0,3.0,10.0,-88.0,70.0,up,up,0.0,0.0,0.0,Low,591,5.918781725888325,up,1.3935848588226734,False,0.0,Low,strong_negative
S*Mobarakeh Steel,2025-06-23,0.0,0.0,0.0,3498.0,0.0,0,0,D,3498.0,3500.0,FOLD1,2025-06-23,2.0,4.0,8.0,55.0,25.0,up,up,0.0,0.0,0.0,Low,591,5.918781725888325,up,1.3935848588226734,False,0.0,Low,non_negative
S*Mobarakeh Steel,2025-06-24,0.0,0.0,0.0,3498.0,0.0,0,0,D,3498.0,3500.0,FOLD1,2025-06-24,9.0,6.0,18.0,-21.0,50.0,up,up,0.0,0.0,0.0,Low,591,5.918781725888325,up,1.3935848588226734,False,0.0,Low,non_negative
S*Mobarakeh Steel,2025-06-25,0.0,0.0,0.0,3498.0,0.0,0,0,D,3498.0,3500.0,FOLD1,2025-06-25,7.0,6.0,13.0,57.0,53.84615384615385,up,up,0.0,0.0,0.0,Low,591,5.918781725888325,up,1.3935848588226734,False,0.0,Low,weak_negative
S*Mobarakeh Steel,2025-06-28,3394.0,3394.0,3394.0,3394.0,176118956804.0,51891266,774,D,3498.0,3394.0,FOLD1,2025-06-28,76.0,15.0,100.0,-704.0,76.0,down,up,-104.0,0.14517685384490112,0.03459417733333333,Low,591,5.7428087986463625,down,1.3521518041292604,True,0.09609493703703703,Low,strong_negative
S*Mobarakeh Steel,2025-06-29,3293.0,3293.0,3293.0,3293.0,182247686624.0,55343968,1156,D,3394.0,3293.0,FOLD1,2025-06-29,98.0,26.0,133.0,-904.0,73.68421052631578,down,down,-101.0,0.1637251161991937,0.03689597866666667,Low,591,5.571912013536379,down,1.3119139337058499,True,0.10248882962962963,Low,strong_negative
